Instancia,LB,ILB,TLB,UP,IUP,TUP,GAP,ITER,TIME,OPTG,OPTS
Spd_RF2_100_114_1811,10.71,1,0,28,35,0,17.29,1246905,10,0,0
Spd_RF2_100_114_1819,10.64,1,0,26,2,0,15.36,1407925,10,0,0
Spd_RF2_100_114_1827,10.53,1,0,27,1,0,16.47,1391244,10,0,0
Spd_RF2_100_114_1835,9.89,1,0,26,6,0,16.11,1330716,10,0,0
Spd_RF2_100_114_1843,10.07,1,0,26,1,0,15.93,1337182,10,0,0
Spd_RF2_100_129_1851,6.2,1,0,23,419602,3,16.8,1123812,10,0,0
Spd_RF2_100_129_1859,5.85,1,0,24,7,0,18.15,1044421,10,0,0
Spd_RF2_100_129_1867,6.09,1,0,23,1,0,16.91,1080895,10,0,0
Spd_RF2_100_129_1875,5.53,1,0,22,5,0,16.47,1083079,10,0,0
Spd_RF2_100_129_1883,5.91,1,0,23,0,0,17.09,1054489,10,0,0
Spd_RF2_100_144_1891,2.67,1,0,20,5,0,17.33,927171,10,0,0
Spd_RF2_100_144_1899,1.79,3,0,18,242762,3,16.21,893997,10,0,0
Spd_RF2_100_144_1907,3.83,1,0,21,195485,2,17.17,966146,10,0,0
Spd_RF2_100_144_1915,1.47,3,0,16,3,0,14.53,951344,10,0,0
Spd_RF2_100_144_1923,2.55,1,0,21,6,0,18.45,958704,10,0,0
Spd_RF2_100_159_1931,-0.27,8,0,17,30752,0,17.27,825655,10,0,0
Spd_RF2_100_159_1939,0.89,3,0,16,202808,2,15.11,843109,10,0,0
Spd_RF2_100_159_1947,0.15,3,0,16,16112,1,15.85,736742,10,0,0
Spd_RF2_100_159_1955,-0.16,3,0,18,1,0,18.16,812967,10,0,0
Spd_RF2_100_159_1963,0.31,3,0,18,335360,3,17.69,846965,10,0,0
Spd_RF2_100_174_1971,-1.55,12,0,17,4,0,18.55,730321,10,0,0
Spd_RF2_100_174_1979,-1.38,19,0,15,109355,1,16.38,772911,10,0,0
Spd_RF2_100_174_1987,-0.57,12,0,18,9230,0,18.57,749629,10,0,0
Spd_RF2_100_174_1995,-1.33,12,0,13,7,0,14.33,755624,10,0,0
Spd_RF2_100_174_2003,-1.8,12,0,13,40214,0,14.8,773372,10,0,0
Spd_RF2_120_136_2211,12.79,1,0,33,1,0,20.21,1074678,10,0,0
Spd_RF2_120_136_2219,12.55,1,0,31,15,0,18.45,1062234,10,0,0
Spd_RF2_120_136_2227,12.68,1,0,32,8,0,19.32,1038610,10,0,0
Spd_RF2_120_136_2235,12.7,1,0,34,1,0,21.3,1022838,10,0,0
Spd_RF2_120_136_2243,12.7,1,0,33,2,0,20.3,1075609,10,0,0
Spd_RF2_120_152_2251,7.62,1,0,27,8,0,19.38,907981,10,0,0
Spd_RF2_120_152_2259,8.37,1,0,29,5,0,20.63,938369,10,0,0
Spd_RF2_120_152_2267,8.06,1,0,28,8,0,19.94,909002,10,0,0
Spd_RF2_120_152_2275,8.27,1,0,27,1,0,18.73,939403,10,0,0
Spd_RF2_120_152_2283,8.43,1,0,28,4,0,19.57,946615,10,0,0
Spd_RF2_120_169_2291,4.6,1,0,26,1,0,21.4,802120,10,0,0
Spd_RF2_120_169_2299,3.75,3,0,25,2,0,21.25,483812,10,0,0
Spd_RF2_120_169_2307,3.39,1,0,24,1,0,20.61,786411,10,0,0
Spd_RF2_120_169_2315,4.24,1,0,26,7,0,21.76,815863,10,0,0
Spd_RF2_120_169_2323,5.64,1,0,24,9,0,18.36,802858,10,0,0
Spd_RF2_120_185_2331,1.39,3,0,21,4,0,19.61,695900,10,0,0
Spd_RF2_120_185_2339,1.38,3,0,21,253508,3,19.62,719079,10,0,0
Spd_RF2_120_185_2347,1.16,3,0,22,720041,9,20.84,721374,10,0,0
Spd_RF2_120_185_2355,-0.36,5,0,21,7,0,21.36,704051,10,0,0
Spd_RF2_120_185_2363,1.95,5,0,23,6,0,21.05,718371,10,0,0
Spd_RF2_120_202_2371,-1.72,5,0,22,30,0,23.72,730493,10,0,0
Spd_RF2_120_202_2379,0.3,1,0,19,56660,0,18.7,755127,10,0,0
Spd_RF2_120_202_2387,-1.05,5,0,21,184485,2,22.05,722410,10,0,0
Spd_RF2_120_202_2395,-0.75,7,0,20,74353,1,20.75,742482,10,0,0
Spd_RF2_120_202_2403,-0.21,5,0,21,46838,0,21.21,755617,10,0,0
Spd_RF2_140_157_2611,14.9,1,0,37,1,0,22.1,1067293,10,0,0
Spd_RF2_140_157_2619,15,1,0,38,2,0,23,1128594,10,0,0
Spd_RF2_140_157_2627,15.02,1,0,39,3,0,23.98,1070163,10,0,0
Spd_RF2_140_157_2635,15.17,1,0,36,3,0,20.83,1071196,10,0,0
Spd_RF2_140_157_2643,14.93,1,0,37,2,0,22.07,1090544,10,0,0
Spd_RF2_140_175_2651,9.43,1,0,31,1,0,21.57,880831,10,0,0
Spd_RF2_140_175_2659,10.47,1,0,32,9,0,21.53,892870,10,0,0
Spd_RF2_140_175_2667,10.3,1,0,32,5,0,21.7,893367,10,0,0
Spd_RF2_140_175_2675,9.34,1,0,32,9,0,22.66,895826,10,0,0
Spd_RF2_140_175_2683,10.26,1,0,34,4,0,23.74,870952,10,0,0
Spd_RF2_140_193_2691,5.58,1,0,29,6,0,23.42,790259,10,0,0
Spd_RF2_140_193_2699,5.52,1,0,28,9,0,22.48,792971,10,0,0
Spd_RF2_140_193_2707,5.96,1,0,29,0,0,23.04,812622,10,0,0
Spd_RF2_140_193_2715,5.73,1,0,32,2,0,26.27,752409,10,0,0
Spd_RF2_140_193_2723,4.6,1,0,31,3,0,26.4,664594,10,0,0
Spd_RF2_140_211_2731,2.28,1,0,28,62465,0,25.72,639002,10,0,0
Spd_RF2_140_211_2739,2.95,3,0,31,7,0,28.05,619370,10,0,0
Spd_RF2_140_211_2747,2.49,3,0,28,12,0,25.51,638590,10,0,0
Spd_RF2_140_211_2755,2.19,1,0,27,99553,1,24.81,633951,10,0,0
Spd_RF2_140_211_2763,2.58,1,0,28,0,0,25.42,638386,10,0,0
Spd_RF2_140_229_2771,-0.67,3,0,24,6,0,24.67,571503,10,0,0
Spd_RF2_140_229_2779,-0.94,8,0,23,6,0,23.94,563148,10,0,0
Spd_RF2_140_229_2787,0.08,3,0,24,215838,5,23.92,474814,10,0,0
Spd_RF2_140_229_2795,-1.32,8,0,26,92028,1,27.32,593862,10,0,0
Spd_RF2_140_229_2803,-0.43,3,0,25,7413,0,25.43,605159,10,0,0
Spd_RF2_160_179_3011,17.43,1,0,42,1,0,24.57,878364,10,0,0
Spd_RF2_160_179_3019,17.93,1,0,44,3,0,26.07,875405,10,0,0
Spd_RF2_160_179_3027,17.45,1,0,46,3,0,28.55,819523,10,0,0
Spd_RF2_160_179_3035,17.73,1,0,46,1,0,28.27,835177,10,0,0
Spd_RF2_160_179_3043,17.51,1,0,45,6,0,27.49,852617,10,0,0
Spd_RF2_160_198_3051,12.6,1,0,39,11,0,26.4,703812,10,0,0
Spd_RF2_160_198_3059,11.39,1,0,39,7,0,27.61,763896,10,0,0
Spd_RF2_160_198_3067,12.2,1,0,39,9,0,26.8,752226,10,0,0
Spd_RF2_160_198_3075,12.01,1,0,38,1,0,25.99,739266,10,0,0
Spd_RF2_160_198_3083,12.74,1,0,40,1,0,27.26,726906,10,0,0
Spd_RF2_160_218_3091,6.59,1,0,34,3,0,27.41,618978,10,0,0
Spd_RF2_160_218_3099,7.79,1,0,38,1,0,30.21,582046,10,0,0
Spd_RF2_160_218_3107,6.14,1,0,35,6,0,28.86,598753,10,0,0
Spd_RF2_160_218_3115,6.64,1,0,32,92830,1,25.36,624529,10,0,0
Spd_RF2_160_218_3123,7.27,1,0,37,1,0,29.73,620734,10,0,0
Spd_RF2_160_237_3131,4.26,1,0,36,179161,3,31.74,518615,10,0,0
Spd_RF2_160_237_3139,3.25,1,0,32,4,0,28.75,573982,10,0,0
Spd_RF2_160_237_3147,2.65,3,0,35,103283,1,32.35,542487,10,0,0
Spd_RF2_160_237_3155,2.31,1,0,33,4,0,30.69,540939,10,0,0
Spd_RF2_160_237_3163,2.62,3,0,35,15,0,32.38,536955,10,0,0
Spd_RF2_160_257_3171,1.15,3,0,31,77409,1,29.85,487560,10,0,0
Spd_RF2_160_257_3179,0.34,5,0,31,291729,6,30.66,480584,10,0,0
Spd_RF2_160_257_3187,-0.01,3,0,31,6,0,31.01,487710,10,0,0
Spd_RF2_160_257_3195,0.68,3,0,30,154480,3,29.32,481876,10,0,0
Spd_RF2_160_257_3203,-0.21,3,0,28,1,0,28.21,490020,10,0,0
Spd_RF2_180_200_3411,20.61,1,0,53,6,0,32.39,670411,10,0,0
Spd_RF2_180_200_3419,20.65,1,0,52,3,0,31.35,655276,10,0,0
Spd_RF2_180_200_3427,21,1,0,51,1,0,30,576740,10,0,0
Spd_RF2_180_200_3435,20.87,1,0,50,6,0,29.13,555141,10,0,0
Spd_RF2_180_200_3443,19.96,1,0,50,2,0,30.04,563403,10,0,0
Spd_RF2_180_221_3451,12.99,1,0,45,4,0,32.01,486477,10,0,0
Spd_RF2_180_221_3459,14.6,1,0,46,9,0,31.4,477104,10,0,0
Spd_RF2_180_221_3467,14.22,1,0,44,2,0,29.78,484336,10,0,0
Spd_RF2_180_221_3475,13.94,1,0,45,3,0,31.06,490812,10,0,0
Spd_RF2_180_221_3483,14.32,1,0,45,3,0,30.68,484301,10,0,0
Spd_RF2_180_242_3491,8.22,1,0,42,0,0,33.78,415533,10,0,0
Spd_RF2_180_242_3499,9.37,1,0,40,2,0,30.63,473018,10,0,0
Spd_RF2_180_242_3507,7.97,1,0,38,3,0,30.03,469875,10,0,0
Spd_RF2_180_242_3515,8.48,1,0,38,4,0,29.52,474034,10,0,0
Spd_RF2_180_242_3523,7.84,1,0,38,6,0,30.16,478890,10,0,0
Spd_RF2_180_263_3531,3.45,1,0,36,66931,1,32.55,416417,10,0,0
Spd_RF2_180_263_3539,4.05,1,0,36,8,0,31.95,417460,10,0,0
Spd_RF2_180_263_3547,3.4,3,0,37,3,0,33.6,417438,10,0,0
Spd_RF2_180_263_3555,4.44,1,0,35,4852,0,30.56,426908,10,0,0
Spd_RF2_180_263_3563,6.23,1,0,37,4,0,30.77,438249,10,0,0
Spd_RF2_180_284_3571,2.07,1,0,34,1,0,31.93,395510,10,0,0
Spd_RF2_180_284_3579,1.5,3,0,36,136813,3,34.5,401521,10,0,0
Spd_RF2_180_284_3587,0.32,3,0,33,0,0,32.68,393689,10,0,0
Spd_RF2_180_284_3595,2.25,1,0,32,59239,1,29.75,403981,10,0,0
Spd_RF2_180_284_3603,2.56,1,0,38,2,0,35.44,391315,10,0,0
Spd_RF2_200_222_3811,23.11,1,0,56,4,0,32.89,541096,10,0,0
Spd_RF2_200_222_3819,22.99,1,0,55,2,0,32.01,550186,10,0,0
Spd_RF2_200_222_3827,22.88,1,0,56,2,0,33.12,559471,10,0,0
Spd_RF2_200_222_3835,22.74,1,0,56,6,0,33.26,543278,10,0,0
Spd_RF2_200_222_3843,23.12,1,0,55,9,0,31.88,548416,10,0,0
Spd_RF2_200_244_3851,16.42,1,0,48,10,0,31.58,486526,10,0,0
Spd_RF2_200_244_3859,17.31,1,0,51,8,0,33.69,482346,10,0,0
Spd_RF2_200_244_3867,15.88,1,0,48,14,0,32.12,471656,10,0,0
Spd_RF2_200_244_3875,15.8,1,0,48,4,0,32.2,483132,10,0,0
Spd_RF2_200_244_3883,15.9,1,0,48,3,0,32.1,487584,10,0,0
Spd_RF2_200_267_3891,9.78,1,0,44,2,0,34.22,417173,10,0,0
Spd_RF2_200_267_3899,10.53,1,0,45,8,0,34.47,412151,10,0,0
Spd_RF2_200_267_3907,9.5,1,0,43,6,0,33.5,417826,10,0,0
Spd_RF2_200_267_3915,10.58,1,0,46,7,0,35.42,419606,10,0,0
Spd_RF2_200_267_3923,10.41,1,0,45,6,0,34.59,411992,10,0,0
Spd_RF2_200_289_3931,5.12,1,0,38,4,0,32.88,388887,10,0,0
Spd_RF2_200_289_3939,5.97,1,0,40,39341,1,34.03,391025,10,0,0
Spd_RF2_200_289_3947,5.53,1,0,43,9,0,37.47,381483,10,0,0
Spd_RF2_200_289_3955,6.39,1,0,45,1,0,38.61,373270,10,0,0
Spd_RF2_200_289_3963,6,1,0,41,6,0,35,369681,10,0,0
Spd_RF2_200_312_3971,1.67,3,0,38,2034,0,36.33,346811,10,0,0
Spd_RF2_200_312_3979,0.9,5,0,42,4,0,41.1,343019,10,0,0
Spd_RF2_200_312_3987,2.84,3,0,42,1,0,39.16,345676,10,0,0
Spd_RF2_200_312_3995,1.3,3,0,42,2,0,40.7,343062,10,0,0
Spd_RF2_200_312_4003,2.18,3,0,41,9,0,38.82,340814,10,0,0
Spd_RF2_20_27_211,0.21,4,0,2,203,0,1.79,6933738,10,0,0
Spd_RF2_20_27_219,0.45,1,0,3,2,0,2.55,8412491,10,0,0
Spd_RF2_20_27_227,0.18,3,0,3,1,0,2.82,8002289,10,0,0
Spd_RF2_20_27_235,0.5,1,0,3,10,0,2.5,9993129,10,0,0
Spd_RF2_20_27_243,0.46,3,0,4,1,0,3.54,6167345,10,0,0
Spd_RF2_20_34_251,-0.52,9,0,1,2126,0,1.52,8468139,10,0,0
Spd_RF2_20_34_259,-0.38,11,0,3,0,0,3.38,8286535,10,0,0
Spd_RF2_20_34_267,-0.29,11,0,3,0,0,3.29,4590077,10,0,0
Spd_RF2_20_34_275,-0.78,12,0,2,64,0,2.78,4743609,10,0,0
Spd_RF2_20_34_283,-0.14,5,0,2,29346,0,2.14,4065210,10,0,0
Spd_RF2_20_42_291,0,3514,0,1,1907,0,1,3514,0,1,0
Spd_RF2_20_42_299,-0.65,34,0,2,1,0,2.65,6566119,10,0,0
Spd_RF2_20_42_307,-0.41,34,0,1,16447,0,1.41,3195767,10,0,0
Spd_RF2_20_42_315,-0.39,35,0,1,40,0,1.39,3209633,10,0,0
Spd_RF2_20_42_323,-0.33,40,0,1,10417,0,1.33,3144443,10,0,0
Spd_RF2_20_49_331,-0.46,44,0,1,60,0,1.46,2815338,10,0,0
Spd_RF2_20_49_339,-0.02,605087,2,1,12448,0,1.02,2897258,10,0,0
Spd_RF2_20_49_347,-0.02,1863811,6,1,70768,0,1.02,2800200,10,0,0
Spd_RF2_20_49_355,-0.28,63,0,1,25587,0,1.28,2760998,10,0,0
Spd_RF2_20_49_363,-0.5,19,0,1,82993,0,1.5,2913954,10,0,0
Spd_RF2_20_57_371,-0.03,1482606,5,1,18,0,1.03,2493046,10,0,0
Spd_RF2_20_57_379,-0.02,2358988,9,1,1479593,5,1.02,2470333,10,0,0
Spd_RF2_20_57_387,-0.4,73,0,1,34,0,1.4,2546274,10,0,0
Spd_RF2_20_57_395,-0.03,2330726,9,1,1867562,7,1.03,2506214,10,0,0
Spd_RF2_20_57_403,-0.03,1942399,7,1,37,0,1.03,2504866,10,0,0
Spd_RF2_250_273_4011,30.97,1,0,72,1,0,41.03,444020,10,0,0
Spd_RF2_250_273_4019,30.68,1,0,71,2,0,40.32,433990,10,0,0
Spd_RF2_250_273_4027,30.16,1,0,71,6,0,40.84,425142,10,0,0
Spd_RF2_250_273_4035,29.86,1,0,72,6,0,42.14,446546,10,0,0
Spd_RF2_250_273_4043,30.52,1,0,70,10,0,39.48,440472,10,0,0
Spd_RF2_250_297_4051,21.41,1,0,61,5,0,39.59,376708,10,0,0
Spd_RF2_250_297_4059,22.44,1,0,64,6,0,41.56,375501,10,0,0
Spd_RF2_250_297_4067,21.6,1,0,58,6,0,36.4,374008,10,0,0
Spd_RF2_250_297_4075,22.57,1,0,66,5,0,43.43,369683,10,0,0
Spd_RF2_250_297_4083,21.74,1,0,64,8,0,42.26,359418,10,0,0
Spd_RF2_250_321_4091,17.14,1,0,62,6,0,44.86,335167,10,0,0
Spd_RF2_250_321_4099,16.69,1,0,60,9,0,43.31,334628,10,0,0
Spd_RF2_250_321_4107,15.49,1,0,57,3,0,41.51,337221,10,0,0
Spd_RF2_250_321_4115,16.01,1,0,57,9,0,40.99,325050,10,0,0
Spd_RF2_250_321_4123,17.95,1,0,61,1,0,43.05,343555,10,0,0
Spd_RF2_250_345_4131,9.08,1,0,53,6,0,43.92,310280,10,0,0
Spd_RF2_250_345_4139,11.51,1,0,60,9,0,48.49,300368,10,0,0
Spd_RF2_250_345_4147,10.26,1,0,55,12,0,44.74,315801,10,0,0
Spd_RF2_250_345_4155,9.3,1,0,57,10,0,47.7,311366,10,0,0
Spd_RF2_250_345_4163,10.97,1,0,53,2,0,42.03,305652,10,0,0
Spd_RF2_250_369_4171,5.71,3,0,55,1,0,49.29,272614,10,0,0
Spd_RF2_250_369_4179,5.04,1,0,52,1,0,46.96,279902,10,0,0
Spd_RF2_250_369_4187,5.31,3,0,47,6,0,41.69,284658,10,0,0
Spd_RF2_250_369_4195,4.59,3,0,52,1,0,47.41,278755,10,0,0
